9781420291391,Primary,MEA,,English,English,Comprehension,Springboard into Comprehension,1,11,6.0-6.5,11-12,10-11,9-12,F-G,100-390,Green,11-12,Identifying detail,Literary recount,Fiction ,Single,Print,Always Late,,Peter Millett,,,,,,9.95,10.95,20110221,1,Paperback,<BR>This lovely story tells the tale of Abby and James being late because their dad's watch is off time. How will it be resolved? And what is the twist at the end?<BR><BR><BR><I>Comprehension Skill: Identifying Detail</I><BR><I>Text Type: Literary Recount</I><BR>,,,,ANZ,,,,,
9781420291407,Primary,MEA,,English,English,Comprehension,Springboard into Comprehension,1,11,6.0-6.5,11-12,10-11,9-12,F-G,100-390,Green,11-12,Main idea,Information report,Non-fiction,Single,Print ,Park Life  ,,Sarah Edwards,,,,,,9.95,10.95,20110221,1,Paperback,<BR>Take a look at life in an African wildlife park. What a place!<BR><FONT color=#ffffef>lll</FONT><BR><B>Contents</B><BR>Wild Africa<BR>Rangers<BR>Studying the Animals<BR>Guests at the Park<BR>Baby Elephants<BR>Baby Gorillas<BR><BR><I>Comprehension Skill: Main Idea</I><BR><I>Text Type: Information Report</I><BR>,,,,ANZ,,,,,
9781420291414,Primary,MEA,,English,English,Comprehension,Springboard into Comprehension,1,11,6.0-6.5,11-12,10-11,9-12,F-G,100-390,Green,11-12,Sequencing,Literary recount,Fiction ,Single,Print,Storm! ,,Pam Rushby,,,,,,9.95,10.95,20110317,1,Paperback,"<BR>There's a big storm coming. Will Jake, Bella and Mum make it home safely or will the hail threaten their journey home?<BR><BR><I>Comprehension Skill: Sequencing</I><BR><I>Text Type: Literary Recount</I><BR>",,,,ANZ,,,,,
9781420291421,Primary,MEA,,English,English,Comprehension,Springboard into Comprehension,1,11,6.0-6.5,11-12,10-11,9-12,F-G,100-390,Green,11-12,Compare and contrast,Factual description,Non-fiction,Single,Print,T-Rex and Apatosaurus,,Jonny Webster,,,,,,9.95,10.95,20110221,1,Paperback,<BR>A fascinating introduction to two powerful dinosaurs. A 'must' for all dinosaur fans.<BR><B><FONT color=#ffffff>ggg</FONT></B><BR><B>Contents</B><BR>Two Dinosaurs<BR>Dinosaur Food<BR>Dinosaur Jaws<BR>Dinosaur Teeth<BR>Big Dinosaurs<BR>No More Dinosaurs<BR><BR><BR><BR><I>Comprehension Skill: Compare and Contrast</I><BR><I>Text Type: Factual Description</I><BR>,,,,ANZ,,,,,
9781420292145,Primary,MEA,,English,English,Comprehension,Springboard into Comprehension,1,11,6.0-6.5,11-12,10-11,9-12,F-G,100-390,Green,11-12,"Identifying detail, Main idea, Sequencing, Compare and contrast","Literary recount, Information report, Factual description",Fiction and Non-fiction ,Pack,Print,Springboard into Comprehension Level 11 Pack,,Various,,,,,,36.95,40.95,20110317,1,Pack with multiple titles,<BR>This pack contains one of each of the four titles in <I>Springboard Into Comprehension Level 1</I><I>1</I>.<BR><FONT color=#ffffff>nnnn</FONT><BR><I>Always Late</I><BR><I>Park Life</I><BR><I>Storm!</I><BR><I>T-Rex and Apatasaurus</I><BR><BR><BR>,,,,ANZ,,,,,
9992101012376,Primary,MEA,,English,English,Comprehension,Springboard into Comprehension,1,11,6.0-6.5,11-12,10-11,9-12,F-G,100-390,Green,11-12,"Identifying detail, Main idea, Sequencing, Compare and contrast","Literary recount, Information report, Factual description",Fiction and Non-fiction ,Pack,Print,Springboard into Comprehension Level 11 Classroom Value Pack ,,Various,,,,,,198.95,218.95,20160316,1,Mixtures Pack,<BR>This pack contains 6 of each of the four titles in <B>Springboard Into Comprehension Level 11</B>. Great for the classroom!<BR><FONT color=#ffffff>nnnn</FONT><BR><I>Always Late</I><BR><I>Park Life</I><BR><I>Storm!</I><BR><I>T-Rex and Apatasaurus</I><BR><BR>,,,,Australia,,,,,
9781420291438,Primary,MEA,,English,English,Comprehension,Springboard into Comprehension,1,12,6.0-6.5,11-12,10-11,9-12,F-G,100-390,Green,11-12,Identifying detail,Information report,Non-fiction,Single,Print,Health Workers Help,,Pam Rushby,,,,,,9.95,10.95,20110317,1,Paperback,<BR>Discover the importance of health workers and how they help those in towns far away from the city.<BR><BR><B>Contents</B><BR>A Long Way From the City<BR>A Special Van<BR>Special Machines<BR>When Something Is Wrong<BR>Picture Glossary<BR><BR><I>Comprehension Skill: Identifying detail</I><BR><I>Text Type: Information Report</I><BR>,,,,ANZ,,,,,
9781420291445,Primary,MEA,,English,English,Comprehension,Springboard into Comprehension,1,12,6.0-6.5,11-12,10-11,9-12,F-G,100-390,Green,11-12,Main idea,Narrative,Fiction ,Single,Print,Playing by the Rules ,,Jack Gabolinscy,,,,,,9.95,10.95,20110317,1,Paperback,<BR>Little Monkey is up to mischief and doesn't want to follow the rules. Find out what happens when Little Monkey goes too far.<BR><BR><I>Comprehension Skill: Main Idea</I><BR><I>Text Type: Narrative</I><BR>,,,,ANZ,,,,,
9781420291452,Primary,MEA,,English,English,Comprehension,Springboard into Comprehension,1,12,6.0-6.5,11-12,10-11,9-12,F-G,100-390,Green,11-12,Sequencing,Procedure,Non-fiction,Single,Print, Fruit Feast ,,Victoria St John,,,,,,9.95,10.95,20110317,1,Paperback,"<BR>Learn how to make delicious fruity treats, including banana smoothie, watermelon cookies, fruit kebabbs and frozen faces!<BR><BR><I>Comprehension Skill: Sequencing</I><BR><I>Text Type: Procedure</I><BR>",,,,ANZ,,,,,
9781420291469,Primary,MEA,,English,English,Comprehension,Springboard into Comprehension,1,12,6.0-6.5,11-12,10-11,9-12,F-G,100-390,Green,11-12,Compare and contrast,Narrative,Fiction,Single,Print,Grandparents' Day,,Greta Mackie,,,,,,9.95,10.95,20110317,1,Paperback,<BR>It's Grandparent's Day at school. Discover how Grandma's time at school was different to Maria's.<BR><BR><I>Comprehension Skill: Compare and Contrast</I><BR><I>Text Type: Narrative</I><BR>,,,,ANZ,,,,,
